original row	URL hash	original classification task	classification outcome	labels from human annotation	human annotation for training vs. eval	used original human annotation	approach to training data	original human annotation source	prescreening for crowdwork	annotator compensation	training for human annotators	formal instructions	multiple annotator overlap	synthesis of annotator overlap	reported inter-annotator agreement	total num of human annotators	median num of annotators per item	link to dataset available	Corpus	Year	Document Type	Cited by	Access Type	label source score	score	max score	norm score
12	0a633e25f6a59f2279f09f7f9c752d64404cd661055c57d118381e6091e3ecad	yes	Activities & actions	Yes for all items	HA for training data	Original and external	Original human-labeled dataset	Survey/self-reported	N/A	Volunteer / explicit no compensation	No information	No information	No	N/A	N/A	30	1	no	Physical & Enviro Sci	2016	Conference Paper	4		1.0	8.0	11.0	0.7272727272727273
13	dfad9b6f70f13aa9fd02b74983afb2ad550dc9cf65848e0a2ca516bfcf1c7f28	yes	Geo/ecological	Yes for some items	HA for training data	Original and external	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2014	Article	98		1.0	3.0	11.0	0.2727272727272727
14	962c8e13b9dd58b07559c08921e4f199393cb1562aa18733859d356813ca9ae5	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	1	Open Access				
15	e21c4a7fc0412ef6e22069eca3b444e6344fa587d746740d903c6b5ed225d4fa	yes	Activities & actions	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Article	387	Open Access	1.0			
16	c7d7ab3e4e0ab849abdf65ef0e90bcb662ed786a218974ae3d0c2e8faa786237	yes	Linguistic	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2013	Conference Paper	25		1.0			
17	c1bd61cbe7b1ea4b1df3998ecd27e78f1827954eac4e183997c3f7ace087fb66	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	2		0.0			
18	5858c10e932667ce73476a21b1f5991cf504f5073207ea438d753e24670f2e03	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2013	Conference Paper	6		1.0			
19	4de380fcbf70ada7df9eb7b8f4427a2f16f9b107c6851caebd7c9abe65f02d61	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	2					
20	44a7dd495d27ecd2a02b21f7646b9946b32ed9a00c4a43c7dab661e03a3a0768	yes	Medical	No information (implicit)	HA for training data	Unsure	Unsure	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2017	Conference Paper	1		0.0	1.0	11.0	0.09090909090909091
21	2bf50bdd57478d1ed4d71ccd2fdd091eb7393e17c589ff3dd238f5aa03344d5b	yes	Geo/ecological	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2016	Article	3		1.0	5.0	11.0	0.45454545454545453
22	ccee17f79aa4b4fa371d1a27ce701e3b27c21ebc915d788713dba3c10377db4b	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	3	Open Access	0.0			
23	184f7b770483e6beab6593b976d0a6373c3797aa91be5f53f70437eeac798716	yes	Medical	Yes for all items	HA for evaluation only	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2015	Article	35		1.0			
24	752935d4778e92cb302884c329909ec18dc3f90a83f9ba61f63e58b9876418df	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	6	Open Access	1.0			
25	44ecada09a604b9f549afb5e391baba0adbc5f04e3af500ed2761fb0a7caa7f6	yes	Biological	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	10	Open Access	1.0			
26	b0c1c1ea999e2f6d226b3b0ec45d07245b849a6b6393033fc6ee91a8c3092884	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	7	Open Access				
27	fc2e14b1e3d2ecf86dbdb5f30607128ebd9fb4e2817f0a3a536f990fa54085fb	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2013	Article	17					
28	97fb407371dc6d3d3a98f15b98bff337878faf8367786846560c60dfaa4f57a3	yes	Biological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	1	Open Access	1.0			
29	f5d4b49891a68c23180b74ee211f00fbe68f093cdc578c41b467f970374edf02	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	6		1.0			
30	634d4b85851a652de814182c8d00034ea555f2754188fb8df37dc6cc10c4f6dd	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2016	Conference Paper	6		1.0	3.0	11.0	0.2727272727272727
31	4e6e4148b7284a0a37f07552255c7ed9abbb7054b0f7549cab1b510a4539d9a6	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	1	Open Access	1.0			
32	55aea40c3d8370d224bd76c660a2c8a3662936bb4e370c68e81dc76f92d6e3f0	yes	Biological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	3		1.0			
33	05b6d96af36ec19da79de7a916f7e9c12df8f9137e755d5b7c8e610bc99e8d69	yes	Linguistic	Yes for all items	HA for training data	Original and external	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2015	Article	10		1.0	3.0	11.0	0.2727272727272727
34	71ec0be6d6ec00fae4b4b5fc0a2257ff04d33d8231a0fbe5dc948414a65475e2	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Article	0					
35	ca5ded22a60f8446321e6bbd0f24c7cb469f0da7d36e6861e10b55b1c4b47914	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Article	3	Open Access				
36	aee29e768b41621c215aea5bfa52f1d25ee5dfb8211f18aee85403c95e3ec7b3	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Conference Paper	12					
37	3b4459f85ecfdf47188183894b07e6e16d9c9bf7f78336b549fb62f21197a6ac	yes	Activities & actions	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	some training details	Instructions w/ formal definition or examples	No	N/A	N/A	2	1	yes	Life Sci & Biomedical	2015	Article	13	Open Access	1.0	11.0	11.0	1.0
38	06a5e2567da7de9a0df9ebff9e867fe86d568c24cd80e78a1f57e12bb037bc91	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Conference Paper	4		1.0			
39	323411e5c6c0774a25238b5a993f8de707338266ec4586060a0617ad2c53d8df	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Conference Paper	0					
40	dd2e4bd3a2d02f5a5e7490029a452b93705e38861ce4541951c51f0a9aa6199c	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	2	Open Access	0.0			
41	b1c1aa668c7badac50dbde1a483467f86ee43e358cf6418970045139d92200c2	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	30		1.0			
42	661d6f462dbb4ca0e95e00f48a4514d5388e43db30558d54343691f304d17a6e	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Article	2					
43	b79b08a633fbfb864e3cfae4c7a6157b79aacdc77ba4c2993d9115571528e202	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Article	21					
44	ba4e1beeeb35f8767415166203b65a1235e70593d222a95897549e841bd5859c	yes	Biological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	8	Open Access	1.0			
45	457f9296db339a4dc6ec296387eb5539cb501931c8ce705e11f5b644231bd009	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	9		0.0			
46	f815934c73a03aa77d11025d3d0bd1a81aa8c5a9ee6247a6c73feed728e638a9	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	15	Open Access	1.0			
47	04534e0fc91ecb4a775add6ad14a8a725f314aaaa5b925c3a30bd1276a9e8fdc	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2017	Article	14		1.0	5.0	11.0	0.45454545454545453
48	dafca224a52b0e31b41047408394ede5c841c92635fb2846484d5104fdc9590f	yes	Physical	Unsure	Unsure	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Conference Paper	0		0.0			
49	e7e91b7c7befc4a58ea83a52673a70786b480a5e38d115582902ee2df0d87836	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Conference Paper	0		1.0			
50	a29cce66d9d3328abf3e1c3d8f4e308ae65ca7c9d663c0a4627f616547ff6839	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2015	Conference Paper	7					
51	58e8baf78ffc1da32c79663ea36a3bf355a91945d8565d608cf109eef1aed3a3	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	9	Open Access	1.0			
52	fc4167574c1310dd045c56c49bc265d389c3d10bc660740658743b336f921879	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Article	19					
53	a2fe054ec99a77ffe6492e4383422224a83164c8a78ddf5db82a13e6ee5f44ff	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	1		1.0			
54	4abcbaec2e4f05110d654290fa3a4605c4126179b4f054e0916879529a3d3626	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0					
55	c0c67c916695e0f0459d08bb1181639be665122abb43cfcf5be8e686f8581432	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		0.0			
56	ff814ba8796b46063484732fc6a560d0baff40adbe4435539f233e6d2a8efaed	yes	Biological	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other (no claim of expertise)	N/A	Volunteer / explicit no compensation	some training details	Instructions w/ formal definition or examples	No	N/A	N/A	30	1	no	Soc Sci & Humanities	2016	Article	34		1.0	10.0	11.0	0.9090909090909091
57	04f088a59035db48ce87e0518b60aa9550250e9538594fc9398f092a32d1130c	yes	Medical	No information (implicit)	HA for training data	Original and external	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2015	Article	12		0.0	2.0	11.0	0.18181818181818182
58	c5088e03d7c88654a7ad3ddc17fc47747ba75389d2765d945a023866e17467be	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	4					
59	20c4ca36d17147ed94606f5e6965837cd148f9308b7cd00ce64e0131ec402a43	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2015	Conference Paper	0					
60	a69f56355c787257941cdcf4de1540c7c18999acb0290e1f65b44f8453ad8de8	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	3		1.0			
61	31f336d71d7a7735cce1a4258d380f96523ec2ac72b0d071f8c2165d3b5e5a56	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2013	Article	74					
62	0b5660b682ba2c4f01af06b06bc752b53c70e95fa87f2d0f471cd77c7fa39d0c	yes	Linguistic	Yes for some items	HA for evaluation only	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Conference Paper	5		1.0			
63	8b92901af4da3013e34391078ff54316591e0d2a9f0846bff1165a693b49739a	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2014	Article	3					
64	00534beafecfa7d924c6d7fc6e8f8f0140dd2a0cdeecb8a732ed388c75226094	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2014	Article	0					
65	008539de96c97cf3a7ea611ee1a69ae666f3712d5f8e21a59e13b5571f80e390	yes	Linguistic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Article	1		1.0			
66	6d2d82480b63c77ebed97371d477ff75b23770aef9b68d2e1d741d6c514a3139	yes	Linguistic	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	Volunteer / explicit no compensation	No information	Instructions w/ formal definition or examples	Yes for all items	Qualitative / discussion	no	7	2	no	Soc Sci & Humanities	2018	Article	2		1.0	10.0	13.0	0.7692307692307693
67	3aa87796ed65c85e2423e4478de3d13ecf23ca17bb8a0a8bdc3239da90da52e3	yes	Demographic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Article	4		1.0			
68	c3aaf47e1ab9019b30c5309939981f92373ff5d3f2985c6b943a131a570bb2b1	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2014	Article	3					
69	27741a07b8fe08c60d343cb7b4be189b1dcdf4c2d834d27d2db12a729816538e	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Article	1					
70	8b5ed358b9066fa582879ff07a0476c427f2a4e5d682b544ca8ee125ce35b31c	yes	Physical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	6		0.0			
71	0edff8afdb0a945f297591a98e8dd6b5fac035f9b4cc287d6371269d445b6041	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2015	Conference Paper	3					
72	aa33bcba4aa4b0907f7d685f98e42cbaaa8e50c1b3c97e1c1ecd2b99a61624e3	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Conference Paper	4					
73	f25b4b27bfcfdd0b502a415abe76c912ad30b3b1cc956d35c893dd73de36fb18	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Conference Paper	8		0.0			
74	6ddecacfcfdc4c5d46fd3494fa78ae77e81796b821c609a60ad715b932aeb120	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	1					
75	7d80503eb3897ac11366954d959deb063cc5ec3af20a6322d297ad3d78b9023b	yes	Geo/ecological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	1		1.0			
76	1a8fef8ca125ac402cda2a9aa291d9dba5a9138031dc99d7b45610ef5be7d725	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Article	6					
77	21bfdb6e4e456904caa40e2dd7fc40d83b0d9981b0e175fd3fa1ab085adf3897	yes	Geo/ecological	No information (implicit)	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2015	Conference Paper	0		0.0	2.0	11.0	0.18181818181818182
78	d88b75412a55e8a863ade566f0f89f0a5417374c150e70cf801a184af77bedda	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		0.0			
79	3de25658f9b108132b1391b4809bf0b17774c4af197d5ec14b4d9f35281d9759	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	2					
80	715918806e2527061e02f37300f23716bf8a68d75a93d0362f51b025b02f005c	yes	Physical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	0		0.0			
81	8c227aaed1ca1e0a78665b5f9db2aa046170213b6d27414fe0a65ee68c8665c4	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	4	Open Access				
82	409a90d6c225498c3c0894658bcb5bd3272ac4430e09dfc924d7bda3c36ce4f9	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	1	Open Access	1.0			
83	b5ebcf4c14d920d44ad3c9803d7bc74e32b5f9d4f73b0a023ed3790ac69bbc82	yes	Physical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2015	Conference Paper	1		1.0	3.0	11.0	0.2727272727272727
84	69b4ec2c1f5ed01f4db636850b94669618b13af3bf80ef6b15b2b8e2920537c6	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	6					
85	9e336f9621a3d412d530c700d9f94e74bf608fbd2e63da604edb63d93db80519	yes	Biological	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2015	Article	5		1.0	4.0	11.0	0.36363636363636365
86	130e3ad7a67ea1462ea43d10b825615d4493662ecdacc9a0280eace4f8f89940	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	1					
87	586c7bff1cb6241e4d164606e6962d91fa2cbca3a750b955ddf1f7bb82934ac5	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	0	Open Access	1.0			
88	564b1b5273a4e0fe429ff649107ffcb88abddbe5e01d56ea4099b024045f64ae	yes	Biological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	3	Open Access	1.0			
89	b946c66da6a548421851616aca6d9134451e09e9cf2351205a441d35b56fb0c0	yes	Biological	Yes for some items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2014	Article	35	Open Access	1.0			
90	6452b2b98e8b876b9a99f4956098599f8d948b088af2c2ce248af90832d67b21	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	4	Open Access	0.0			
91	0879d0b0efafa80b0445f3aaa5086da4ba3dbb409695fa8b70d6fda7b41beeb9	yes	Linguistic	No information (implicit)	HA for training data	Unsure	Unsure	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2017	Conference Paper	1		0.0	1.0	11.0	0.09090909090909091
